result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_interestingness
024a6a515813,"['gpt-4', 'stamp-letter-send']","['model', 'id']",919,155,114,72,5,0.7354838709677419,4.84516129032258,183.0,31.0,28.6,0,0,0,5,0,0,5,0.2164517196131424,0.009904632980662187,"[0.004876706713721868, 0.0044933415594555215, 0.0025325353110666193, 0.007906682377080365]","[0.7354838709677419, 0.9935064935064936, 1.0, 1.0, 1.0]","[0.08387096774193549, 0.34415584415584416, 0.6143790849673203, 0.7960526315789473, 0.9470198675496688]",4.4,9,3.972647014123322,11,13.0,17,61.63024137931035,13.308436781609199,0.23118327083544477,0.15326901118205466,0.11284301206040337,0.03459903381642512,0.04773007668659843,0.13357879801358064,0.1352110401675619,0.12428246114564978,0.00037183788992661837,0.5,0.013227931658426895
48e9e1b1f09f,"['gpt-4', 'stamp-letter-send']","['model', 'id']",767,138,95,65,5,0.6884057971014492,4.434782608695652,152.6,27.6,23.6,7,0,1,1,2,7,3,0.21461240872740744,0.011800180707642105,"[0.00808426526619152, 0.0061822045933116465, 0.008762086469889713, 0.0005718050858913304]","[0.6884057971014492, 0.9927007299270073, 1.0, 1.0, 1.0]","[0.07971014492753623, 0.32116788321167883, 0.625, 0.8148148148148148, 0.917910447761194]",4.2,5,3.3184845902575164,9,10.6,15,75.81495541401274,10.485299363057326,0.28109833971902937,0.13869731800766283,0.05235109717868339,0.028607918263090677,0.10537559503076745,0.16696853593405317,0.13616626030419135,0.09752580134764961,0.003306783881543318,0.25,0.00020732652573357546
aa7a317f1d19,"['gpt-4', 'stamp-letter-send']","['model', 'id']",839,143,95,70,5,0.6643356643356644,4.748251748251748,167.0,28.6,24.6,0,0,0,4,9,0,13,0.21342219830052947,0.014528415214899407,"[0.012497391048445577, 0.010309126583579326, 0.0012028107567439161, 0.005047502041029994]","[0.6643356643356644, 0.9647887323943662, 1.0, 1.0, 1.0]","[0.08391608391608392, 0.33098591549295775, 0.6099290780141844, 0.8285714285714286, 0.9136690647482014]",3.2,5,3.6500451297798158,11,11.4,13,74.49909756097563,11.016634146341463,0.25486710239651417,0.09887581699346405,0.11878867102396513,0.006666666666666666,0.10994335511982571,0.16443572984749455,0.12467102396514161,0.09406946793846462,0.005687204735299267,0.14285714285714285,0.06588707764943441
2a4eb7856622,"['gpt-4', 'stamp-letter-send']","['model', 'id']",803,150,96,64,5,0.64,4.253333333333333,159.8,30.0,25.2,0,0,3,5,2,0,7,0.21132898097118688,0.008463064596085812,"[0.008526873806894042, 0.004749416649996563, 0.0035867788034044112, 6.305993187660786e-05]","[0.64, 0.9731543624161074, 1.0, 1.0, 1.0]","[0.08, 0.3087248322147651, 0.6148648648648649, 0.8367346938775511, 0.9246575342465754]",4.2,5,3.8653341336534615,12,11.8,15,82.07989473684212,10.307064327485381,0.2855402519453346,0.12975184733609427,0.07890180546399127,0.013793103448275862,0.09792523093292063,0.15770103063917956,0.1343223973751664,0.09129181374674258,0.009873639393984446,0.14285714285714285,0.014583905537923159
2109825717fa,"['gpt-4', 'stamp-letter-send']","['model', 'id']",789,137,88,61,5,0.6423357664233577,4.642335766423358,157.0,27.4,23.8,0,0,0,3,0,0,3,0.21017943096291172,0.012309611120460223,"[0.011503496434953492, 0.005369498874201933, 0.005628419007981222, 0.002117807923783799]","[0.6423357664233577, 0.9485294117647058, 0.9925925925925926, 1.0, 1.0]","[0.08759124087591241, 0.3382352941176471, 0.6074074074074074, 0.8059701492537313, 0.924812030075188]",3.2,6,3.7347054784315623,13,11.8,16,74.29776923076923,10.64723076923077,0.22726689976689976,0.15329953379953382,0.09101282051282052,0.01346153846153846,0.03971794871794872,0.1844055944055944,0.1344055944055944,0.09564489644506703,0.01217273941053476,0.25,0.0027619083722432713
c7008eeee8e3,"['gpt-4', 'stamp-letter-send']","['model', 'id']",967,162,104,77,5,0.6419753086419753,4.845679012345679,192.6,32.4,27.6,0,0,0,10,0,0,10,0.21713050071376688,0.009239125085409375,"[0.006702452527278913, 0.0028013734441054705, 0.00393536216334292, 0.005039062036091446]","[0.6419753086419753, 0.9751552795031055, 1.0, 1.0, 1.0]","[0.06790123456790123, 0.3105590062111801, 0.625, 0.8176100628930818, 0.9240506329113924]",4.2,6,3.7310809632777597,10,11.0,14,69.22100000000003,12.945276595744684,0.2931843684999365,0.11352919338894094,0.0932078100942056,0.02343573988735279,0.06831310172123636,0.16211519473791564,0.1615365977077057,0.08179943717044333,0.0017294000911755592,0.14285714285714285,0.014232913653055845
f5f61156dff4,"['gpt-4', 'stamp-letter-send']","['model', 'id']",806,142,94,66,5,0.6619718309859155,4.570422535211268,160.4,28.4,23.0,0,0,0,4,2,0,6,0.21373675908797826,0.01706476299744754,"[0.0034553696639080533, 0.009153224832830376, 0.009451405736315005, 0.012069525761841643]","[0.6619718309859155, 0.9716312056737588, 1.0, 1.0, 1.0]","[0.09154929577464789, 0.3262411347517731, 0.5785714285714286, 0.7769784172661871, 0.927536231884058]",3.2,6,3.6002267944821136,11,11.2,13,72.39950943396227,11.061056603773586,0.2805481952540776,0.14159453571218278,0.07215303538832951,0.005405405405405406,0.04079373491138197,0.19072160395689808,0.15523906259200376,0.09045717508896538,0.005058083160401683,0.25,0.016913251082102454
8450a9328083,"['gpt-4', 'stamp-letter-send']","['model', 'id']",812,131,94,62,5,0.7175572519083969,5.030534351145038,161.6,26.2,23.0,0,0,0,2,1,0,3,0.21686964019904498,0.014806103424513065,"[0.0023008458839826884, 0.013704170783360808, 0.011471640315406761, 0.002135549866275871]","[0.7175572519083969, 0.9923076923076923, 1.0, 1.0, 1.0]","[0.09923664122137404, 0.3923076923076923, 0.7441860465116279, 0.9375, 0.9921259842519685]",2.0,3,3.4928792569659444,10,11.2,16,62.423058823529445,12.154457516339871,0.28076705429646603,0.12016721840251252,0.08179243414537532,0.023376623376623377,0.027840024898848428,0.1637931132048779,0.14472710296239708,0.11392271518707275,0.0012076790617317479,0.5,0.004718641440073668
854c444fd5e3,"['gpt-4', 'stamp-letter-send']","['model', 'id']",843,153,105,76,5,0.6862745098039216,4.366013071895424,167.8,30.6,26.0,0,0,1,8,0,0,8,0.2128668022783179,0.008664842455733568,"[0.010440402874855592, 0.003038208695397532, 0.002971171022771474, 0.0008799023184425381]","[0.6862745098039216, 0.9736842105263158, 1.0, 1.0, 1.0]","[0.0784313725490196, 0.3026315789473684, 0.5629139072847682, 0.78, 0.8791946308724832]",3.4,6,3.8809343663161626,15,11.2,18,74.83281355932203,11.616000000000003,0.266007326007326,0.13383150183150183,0.09658608058608059,0.01789010989010989,0.07601465201465202,0.18071794871794872,0.16490842490842492,0.10507974417313286,0.006797996779722426,0.14285714285714285,0.06386810938517251
5999ce8e96fe,"['gpt-4', 'stamp-letter-send']","['model', 'id']",963,168,110,81,5,0.6547619047619048,4.613095238095238,191.8,33.6,28.4,0,0,0,7,0,0,7,0.21340188991140435,0.012027338338247429,"[0.004807974485790012, 0.00575688849887282, 0.007782196454298257, 0.005707617237533769]","[0.6547619047619048, 0.9520958083832335, 1.0, 1.0, 1.0]","[0.07738095238095238, 0.2634730538922156, 0.5120481927710844, 0.703030303030303, 0.8353658536585366]",4.2,7,4.078825029104201,16,12.4,19,67.39650000000002,13.398500000000002,0.28802182163187856,0.129308981657179,0.09140575585072738,0.0058823529411764705,0.04795224541429475,0.1894291587602783,0.17121283997469955,0.08064744006032529,0.0057278215135495025,0.14285714285714285,0.023431396484375033
