result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
e83c4d4086db,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",583,115,68,43,5,3.965217391304348,116.6,23.0,19.2,0.21107983483560588,0.027836815702728612,"[0.013330755760143309, 0.019188539012447797, 0.013136952089302711, 0.010017384543563407]","[0.591304347826087, 0.9649122807017544, 1.0, 1.0, 1.0]","[0.10434782608695652, 0.32456140350877194, 0.6283185840707964, 0.8035714285714286, 0.9279279279279279]",2.4,5,3.3222841656988,9,0.10267412144204845,0.006580899456285483,0.14285714285714285
0602cb30fecc,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",314,60,42,28,3,4.083333333333333,104.0,20.0,17.0,0.21079032194046746,0.003134372920701012,"[0.0012255222508401609, 0.001908850669860851]","[0.7, 0.9661016949152542, 1.0, 1.0, 1.0]","[0.15, 0.3559322033898305, 0.6551724137931034, 0.8070175438596491, 0.9464285714285714]",2.0,4,3.0371254761498667,8,0.07635390758514404,0.0071599252465623375,0.25
6eb8755ec3e1,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",364,67,50,33,4,4.313432835820896,90.25,16.75,14.25,0.21317717545863354,0.14221593415066278,"[0.0008288211636729159, 1.8558331898288483e-05, 0.21247652173042297]","[0.746268656716418, 0.9848484848484849, 1.0, 1.0, 1.0]","[0.11940298507462686, 0.3484848484848485, 0.5538461538461539, 0.75, 0.8888888888888888]",1.0,2,2.898188372660204,8,0.0842572191487188,0.002386218210230162,0.125
ac6e5b32a02e,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",435,82,56,40,4,4.182926829268292,108.25,20.5,17.5,0.20721913751883383,0.01489093454197199,"[0.013553121264534757, 0.0038882173673071008, 0.004895063181116127]","[0.6829268292682927, 0.9506172839506173, 1.0, 1.0, 1.0]","[0.13414634146341464, 0.4074074074074074, 0.6875, 0.8734177215189873, 0.9743589743589743]",2.25,4,2.989756562881563,8,0.09092700222264165,0.014302294089829581,0.14285714285714285
9c67c2d10f4f,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",496,91,62,42,4,4.2967032967032965,123.25,22.75,18.5,0.21340978138676642,0.010478371960670344,"[0.0024533627912251554, 0.003688255054319023, 0.009575940095461338]","[0.6813186813186813, 0.9666666666666667, 1.0, 1.0, 1.0]","[0.10989010989010989, 0.3, 0.5393258426966292, 0.7613636363636364, 0.896551724137931]",1.5,3,3.0041895604395603,9,0.07905400835949442,0.0019210063539644162,0.125
f44d7666d25c,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",331,52,41,25,3,5.1923076923076925,109.66666666666667,17.333333333333332,15.666666666666666,0.20950399617354076,0.010660802939581465,"[0.0061194992727703346, 0.004541303666811131]","[0.7884615384615384, 0.9411764705882353, 0.98, 1.0, 1.0]","[0.19230769230769232, 0.5490196078431373, 0.84, 0.9591836734693877, 1.0]",2.3333333333333335,4,2.662971926993815,6,0.10594362797944443,0.009732576780415725,0.3333333333333333
5c94b863a797,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",477,90,64,38,4,4.166666666666667,118.5,22.5,20.0,0.2144037953142082,0.0079202830189406,"[0.007661383651723752, 0.004073848327000917, 0.0001451925496862294]","[0.7111111111111111, 0.9775280898876404, 1.0, 1.0, 1.0]","[0.12222222222222222, 0.38202247191011235, 0.6818181818181818, 0.8390804597701149, 0.9302325581395349]",2.5,5,3.3089707652997293,10,0.07500817723896193,6.702150091913994e-05,0.14285714285714285
f5f6fe4f3281,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",539,100,62,41,4,4.28,134.0,25.0,20.75,0.21168775296792752,0.007400270664330706,"[0.0002794254909862237, 0.0031319000504233807, 0.0076890804550864555]","[0.62, 0.9797979797979798, 1.0, 1.0, 1.0]","[0.1, 0.3838383838383838, 0.6326530612244898, 0.8247422680412371, 0.9166666666666666]",2.5,4,3.9719638615453237,11,0.10397516644519308,0.005365063191642205,0.14285714285714285
a27f3bc1e396,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",403,74,55,35,5,4.216216216216216,80.0,14.8,12.8,0.21223061305134236,0.012918948204744443,"[0.011999122443653282, 0.001931446790695207, 0.0009068846702575684, 0.01100044250488283]","[0.7432432432432432, 0.9726027397260274, 1.0, 1.0, 1.0]","[0.14864864864864866, 0.4931506849315068, 0.7638888888888888, 0.9154929577464789, 0.9714285714285714]",1.4,3,2.6182454827105817,7,0.10296153244764908,0.004279343024812532,0.25
31a555045aba,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",499,95,58,42,4,4.08421052631579,124.0,23.75,19.75,0.2134553619793483,0.010197951025141889,"[0.0068273061251902245, 0.0032601569925909124, 0.005209463419931698]","[0.6105263157894737, 0.9361702127659575, 1.0, 1.0, 1.0]","[0.09473684210526316, 0.2872340425531915, 0.5591397849462365, 0.782608695652174, 0.9230769230769231]",1.75,3,3.4761991664165577,10,0.0920037083003832,0.0018298451688006367,0.14285714285714285
c55d23c22848,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",498,92,63,42,4,4.260869565217392,123.75,23.0,19.25,0.21483346705652695,0.010580322612521526,"[0.0024533627912251554, 0.003688255054319023, 0.009728866073238113]","[0.6847826086956522, 0.967032967032967, 1.0, 1.0, 1.0]","[0.10869565217391304, 0.2967032967032967, 0.5222222222222223, 0.7640449438202247, 0.9090909090909091]",1.5,3,3.152106227106227,12,0.07410084682962169,0.0009263649855566491,0.125
