result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
2109825717fa,"['gpt-4', 'low']","['model', 'semantic_distance']",789,137,88,61,5,0.6423357664233577,4.642335766423358,157.0,27.4,23.8,0,0,0,3,0,0,3,0.21017943096291172,0.012309611120460223,"[0.011503496434953492, 0.005369498874201933, 0.005628419007981222, 0.002117807923783799]","[0.6423357664233577, 0.9485294117647058, 0.9925925925925926, 1.0, 1.0]","[0.08759124087591241, 0.3382352941176471, 0.6074074074074074, 0.8059701492537313, 0.924812030075188]",3.2,6,3.7347054784315623,13,11.8,16,74.29776923076923,10.64723076923077,0.22726689976689976,0.15329953379953382,0.09101282051282052,0.01346153846153846,0.03971794871794872,0.1844055944055944,0.1344055944055944,0.1374339636634378,0.01716132435616402,0.25
f780f6dfb532,"['gpt-4', 'low']","['model', 'semantic_distance']",932,168,110,81,5,0.6547619047619048,4.4226190476190474,185.6,33.6,27.2,0,0,0,1,2,0,3,0.21697047847656556,0.009609245760871563,"[0.007192801299437973, 0.00670736793315771, 0.003303442801628892, 0.0020148794875185505]","[0.6547619047619048, 0.9461077844311377, 1.0, 1.0, 1.0]","[0.07738095238095238, 0.2634730538922156, 0.5120481927710844, 0.7515151515151515, 0.8841463414634146]",3.8,5,4.187409312263963,12,12.0,16,72.97413471502593,12.670217616580313,0.31635307781649247,0.13639953542392566,0.03760743321718931,0.03249709639953542,0.04213704994192799,0.19256678281068526,0.14318234610917538,0.14289618239683263,0.003579229328856348,0.16666666666666666
afb30fade4ee,"['gpt-4', 'low']","['model', 'semantic_distance']",791,134,90,65,5,0.6716417910447762,4.7835820895522385,157.4,26.8,23.8,0,0,0,6,2,0,8,0.21976058958814695,0.005130871941172885,"[0.004230354702661893, 0.003490559118134645, 0.0014082751048156705, 0.0011325549567335613]","[0.6716417910447762, 0.9548872180451128, 0.9848484848484849, 0.9923664122137404, 1.0]","[0.08955223880597014, 0.3533834586466165, 0.6666666666666666, 0.8854961832061069, 0.9461538461538461]",4.6,6,3.2541894301076413,9,10.4,13,70.647025974026,11.057064935064936,0.2916296991067789,0.13317203905319355,0.08267260300537041,0.008,0.054777351680577485,0.14975737787961896,0.13166857816772928,0.1476646486450644,0.0020009928943064414,0.16666666666666666
8e71af4478a9,"['gpt-4', 'low']","['model', 'semantic_distance']",794,138,93,66,5,0.6739130434782609,4.6521739130434785,158.0,27.6,23.6,0,0,0,10,0,0,10,0.214369818825266,0.017668150638763896,"[0.005298359075308706, 0.003863827568112016, 0.020526336821722196, 0.005647777812384874]","[0.6739130434782609, 0.9854014598540146, 1.0, 1.0, 1.0]","[0.09420289855072464, 0.3357664233576642, 0.5808823529411765, 0.7555555555555555, 0.8880597014925373]",3.2,6,3.517175053292373,9,11.0,13,74.49248051948054,10.5207012987013,0.2843634859763892,0.12415783141589593,0.0951876080908339,0.012512218963831867,0.09711068501391082,0.1628693886758403,0.144571020377472,0.14117643529293583,0.008780548631455443,0.1111111111111111
55f4e6e25ac3,"['gpt-4', 'low']","['model', 'semantic_distance']",767,128,89,65,5,0.6953125,4.8515625,152.6,25.6,23.2,0,0,0,3,2,0,5,0.2168618284738981,0.004490835746025601,"[0.003200178977214918, 0.00292166946254252, 0.0003032639131441417, 0.0025565591391496223]","[0.6953125, 0.9921259842519685, 1.0, 1.0, 1.0]","[0.1015625, 0.33858267716535434, 0.6190476190476191, 0.8, 0.8951612903225806]",3.6,7,3.2525268109755987,8,9.0,12,70.97994630872486,10.76220134228188,0.2727272727272727,0.12824242424242424,0.11212121212121212,0.006060606060606061,0.04806060606060606,0.1663030303030303,0.11830303030303031,0.12999236116222307,0.0037965293341912787,0.2
28324d7612dd,"['gpt-4', 'low']","['model', 'semantic_distance']",960,168,106,73,5,0.6309523809523809,4.619047619047619,191.2,33.6,28.2,0,0,0,6,3,0,9,0.21076675521456487,0.006440372664082872,"[0.0006758786884008827, 0.0022339081903647307, 0.0013832409180694616, 0.008587717531330669]","[0.6309523809523809, 0.9341317365269461, 0.9939759036144579, 1.0, 1.0]","[0.07142857142857142, 0.2634730538922156, 0.5180722891566265, 0.7333333333333333, 0.8780487804878049]",4.0,9,4.089135478331242,14,14.6,22,65.96323809523813,13.449354497354495,0.28034079057921973,0.13746551718501226,0.06817818927215842,0.013043478260869565,0.07487545647433445,0.1796970023898495,0.16532750092357384,0.135310758562649,0.015986675852857735,0.25
5d78aee26db9,"['gpt-4', 'low']","['model', 'semantic_distance']",960,170,108,78,5,0.6352941176470588,4.529411764705882,191.2,34.0,27.8,0,0,0,7,0,0,7,0.21513322306362104,0.016545233717239483,"[0.010288243453740048, 0.0016223201898633577, 0.008216385811389448, 0.012963517979486111]","[0.6352941176470588, 0.9526627218934911, 1.0, 1.0, 1.0]","[0.07058823529411765, 0.28402366863905326, 0.5595238095238095, 0.7664670658682635, 0.8855421686746988]",4.6,7,3.9581573840844304,11,12.2,15,70.93190909090912,13.20349494949495,0.3013695213643866,0.11671520264074821,0.0897619658903356,0.005263157894736842,0.051599853291766,0.1671179167430772,0.14435099944984411,0.15324752587898105,0.007253740154745392,0.14285714285714285
accc5a88cea4,"['gpt-4', 'low']","['model', 'semantic_distance']",918,156,93,68,5,0.5961538461538461,4.762820512820513,182.8,31.2,25.2,0,0,0,4,1,0,5,0.215957224133561,0.004131841833355326,"[0.004830074972576565, 0.0017947624891232195, 0.0014618941778782313, 0.00017695202713263747]","[0.5961538461538461, 0.9483870967741935, 0.9935064935064936, 1.0, 1.0]","[0.07692307692307693, 0.3032258064516129, 0.551948051948052, 0.7581699346405228, 0.9078947368421053]",4.0,6,4.107940227622727,13,13.0,18,56.73742857142858,14.040571428571429,0.2557337469102175,0.10927142280083457,0.05149480620068855,0.017170111287758347,0.054678903502432916,0.16901705078175666,0.17657931893226012,0.1504131695803474,0.005605738014865469,0.16666666666666666
417d520732d1,"['gpt-4', 'low']","['model', 'semantic_distance']",824,139,90,64,5,0.6474820143884892,4.776978417266187,164.0,27.8,24.2,0,0,0,2,1,0,3,0.21400155538013058,0.01738739245789815,"[0.01457159957844456, 0.010857416487438765, 0.008685724590069194, 0.0006600442598437839]","[0.6474820143884892, 0.9492753623188406, 0.9927007299270073, 1.0, 1.0]","[0.09352517985611511, 0.37681159420289856, 0.656934306569343, 0.8382352941176471, 0.9555555555555556]",4.2,10,3.4354865424430643,10,10.4,13,74.31349068322983,10.893465838509318,0.24638157894736842,0.13443859649122808,0.05516666666666667,0.013263157894736841,0.03376315789473684,0.17274561403508773,0.12570614035087718,0.1467866722275229,0.009517075521726315,0.2
a131b17d303f,"['gpt-4', 'low']","['model', 'semantic_distance']",808,135,100,70,5,0.7407407407407407,4.859259259259259,160.8,27.0,23.6,0,0,0,3,2,0,5,0.21423566440124195,0.009188609878765852,"[0.0020221957194259954, 0.004523662360485264, 0.004635561735202104, 0.0071957999424183405]","[0.7407407407407407, 0.9850746268656716, 1.0, 1.0, 1.0]","[0.08888888888888889, 0.39552238805970147, 0.7443609022556391, 0.9090909090909091, 0.9847328244274809]",3.6,6,3.17474725005362,8,11.2,14,73.21315384615386,10.798512820512823,0.22764853617848171,0.1733835634017122,0.10273821090518005,0.019617224880382776,0.04276399811790011,0.16200052552139665,0.09196380013076927,0.13002530733744302,0.00904885747950357,0.25
