result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
d9c0434bf5f2,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",781,139,89,56,5,0.6402877697841727,4.525179856115108,155.4,27.8,23.6,0,0,0,13,1,0,14,0.20920696525604693,0.0180445856921799,"[0.007822541292611646, 0.007214547448105846, 0.015561900077722013, 0.005490182565920293]","[0.6402877697841727, 0.9710144927536232, 1.0, 1.0, 1.0]","[0.07913669064748201, 0.2898550724637681, 0.5401459854014599, 0.7205882352941176, 0.8592592592592593]",4.0,5,3.1467830409755875,8,11.2,13,68.50541176470591,11.306091503267975,0.26144781144781143,0.1444805194805195,0.05696248196248196,0.027861952861952862,0.10477392977392977,0.1606180856180856,0.11392496392496392,0.07496883299039758,0.0077719870912286715,0.07692307692307693
4a7401ebb6de,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",581,102,68,43,5,0.6666666666666666,4.578431372549019,115.4,20.4,17.8,0,0,0,9,1,0,10,0.208961035194059,0.011928444453562129,"[0.01699534762989391, 0.0009569059718738671, 0.0055390022017738905, 0.00036563310358259105]","[0.6666666666666666, 0.9900990099009901, 1.0, 1.0, 1.0]","[0.10784313725490197, 0.39603960396039606, 0.71, 0.8888888888888888, 0.9489795918367347]",3.2,6,2.9154792496021646,8,8.6,11,78.2917391304348,8.053043478260872,0.2281043956043956,0.20434065934065934,0.0637912087912088,0.020192307692307693,0.12862637362637364,0.15767399267399268,0.07545787545787545,0.07096201440562373,0.008263847215204512,0.07692307692307693
1e3b6851e8d4,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",687,123,81,51,5,0.6585365853658537,4.471544715447155,136.6,24.6,21.6,0,0,0,14,0,0,14,0.20624385286779964,0.010523038367172319,"[0.0022405726311010565, 0.0018865113908594078, 0.009514217575391115, 0.007404775136993058]","[0.6585365853658537, 1.0, 1.0, 1.0, 1.0]","[0.08943089430894309, 0.36065573770491804, 0.628099173553719, 0.85, 0.9831932773109243]",4.0,7,3.2245359954055606,9,10.8,13,74.60360869565218,9.710231884057972,0.19925673526872928,0.18735759393030757,0.06530430239425741,0.05078656126482214,0.14657961928126845,0.10635368679296715,0.09802035345963382,0.080240565797557,0.013698211867723242,0.07692307692307693
cbc3c59e01c3,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",746,128,85,60,5,0.6640625,4.734375,148.4,25.6,21.6,0,0,0,4,1,0,5,0.21248021607345108,0.010885693294145321,"[0.0080461989233504, 0.0027006495566594957, 0.0020115827520688356, 0.00901295535621191]","[0.6640625, 0.9606299212598425, 0.9841269841269841, 0.992, 1.0]","[0.0859375, 0.2992125984251969, 0.5238095238095238, 0.736, 0.8790322580645161]",3.2,6,3.639872420262664,12,10.6,15,70.72488111888113,10.499664335664338,0.2791683569979716,0.13648073022312374,0.10124746450304259,0.025278904665314402,0.0480578093306288,0.19453853955375253,0.13620182555780933,0.08865482910819676,0.001225485456420372,0.07692307692307693
3ee8b18a7400,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",611,109,72,52,5,0.6605504587155964,4.504587155963303,121.4,21.8,19.4,0,0,0,11,1,0,12,0.20862051822121505,0.023964556850693916,"[0.0027221863814180236, 0.02632815741529368, 0.01623078388999208, 0.0026479860146840506]","[0.6605504587155964, 1.0, 1.0, 1.0, 1.0]","[0.10091743119266056, 0.35185185185185186, 0.616822429906542, 0.8113207547169812, 0.9142857142857143]",2.8,4,3.0298267824129894,9,8.4,10,78.09514049586781,8.378578512396697,0.2561972667855021,0.14983957219251337,0.04707070707070707,0.039037433155080216,0.1118597742127154,0.17161021984551397,0.15140819964349375,0.12549479111381198,0.008944881160892426,1.0
a6f363126bd5,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",762,130,87,60,5,0.6692307692307692,4.7615384615384615,151.6,26.0,22.8,0,0,0,7,0,0,7,0.2092970835623768,0.02174257092546572,"[0.010935889515611863, 0.00445491789825378, 0.00643887294440712, 0.02165546149265868]","[0.6692307692307692, 0.9534883720930233, 1.0, 1.0, 1.0]","[0.09230769230769231, 0.35658914728682173, 0.625, 0.8188976377952756, 0.9285714285714286]",3.0,6,3.283807459380318,10,10.2,17,65.94220547945207,11.315808219178084,0.23950506008855155,0.139022770398482,0.07382906388361797,0.03800126502213789,0.06675126502213789,0.170365275142315,0.1321544908285895,0.10734106405921605,0.007591750478568915,0.2
d032cabe03f6,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",737,128,80,57,5,0.625,4.6328125,146.6,25.6,21.4,0,0,0,6,0,0,6,0.21045743997085065,0.011433476813478394,"[0.006066570679346711, 0.00528679749904537, 0.0033022230177323364, 0.00821136243083237]","[0.625, 0.952755905511811, 0.9920634920634921, 1.0, 1.0]","[0.1015625, 0.31496062992125984, 0.5634920634920635, 0.784, 0.9193548387096774]",3.6,5,3.3396311619915204,9,9.0,11,68.83946575342466,10.911698630136986,0.246935817805383,0.18800207039337474,0.07683850931677018,0.017028985507246377,0.061285714285714284,0.19593581780538302,0.10531469979296065,0.1337687839632449,0.005271037661621236,0.25
2b83460c01e5,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",644,109,75,51,5,0.6880733944954128,4.7889908256880735,128.0,21.8,19.2,0,0,0,5,2,0,7,0.2132071763861413,0.012306862683814382,"[0.009047584055544233, 0.00705799247537342, 0.0036090960578313014, 0.004899052778879809]","[0.6880733944954128, 0.9907407407407407, 1.0, 1.0, 1.0]","[0.11009174311926606, 0.3425925925925926, 0.5887850467289719, 0.7830188679245284, 0.9142857142857143]",3.0,4,3.0908265916350066,7,8.4,10,72.50170967741937,9.307806451612905,0.31448193760262727,0.12949096880131364,0.06671346469622332,0.006896551724137931,0.06555528188286809,0.1945224411603722,0.09495949644225506,0.06942449445309846,0.00022843516896009497,0.07692307692307693
12e7622405f0,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",867,147,98,62,5,0.6666666666666666,4.782312925170068,172.6,29.4,26.6,0,0,0,12,2,0,14,0.20775517485622122,0.008334865643027656,"[0.0025124574700991498, 0.004788384638426513, 0.006870670254559452, 0.0024982189229701968]","[0.6666666666666666, 0.9657534246575342, 1.0, 1.0, 1.0]","[0.08163265306122448, 0.3150684931506849, 0.6137931034482759, 0.8194444444444444, 0.9230769230769231]",3.6,5,3.2742087260565524,10,11.8,14,62.59090909090911,12.72727272727273,0.2434782608695652,0.1535257581293387,0.06360979174278407,0.0304165144318597,0.12062477164778955,0.12440628425283157,0.12188527584947022,0.08656236399774966,0.010675567890880089,0.07692307692307693
dfcbaecfd655,"['llama-3.1-405b-instruct', 'stamp-letter-send']","['model', 'id']",697,124,82,49,5,0.6612903225806451,4.524193548387097,138.6,24.8,22.0,0,0,0,13,0,0,13,0.20656375632602342,0.007410935779194244,"[0.009905468107579807, 0.0023131639238387625, 0.0011177191876957648, 0.0014855203392741545]","[0.6612903225806451, 0.991869918699187, 1.0, 1.0, 1.0]","[0.10483870967741936, 0.42276422764227645, 0.7786885245901639, 0.9256198347107438, 0.9833333333333333]",4.4,7,3.1198839308666733,11,9.4,15,76.89500000000002,9.489999999999998,0.21378963296129713,0.18008426342384362,0.06488977733355544,0.047488755622188905,0.132791937364651,0.10219334777055916,0.09528707868288078,0.09289605462032816,0.013058404951275693,0.2
