result_id,respondent_id,item_id,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_n_gram_diversity,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
R_2pgeIFWQlDZignv_Q2,R_2pgeIFWQlDZignv,stamp-letter-send,508,102,65,28,7,3.892156862745098,71.71428571428571,14.571428571428571,13.857142857142858,0.20849524824707596,0.07552695473035174,"[0.6106194690265486, 0.9642857142857143, 1.0, 1.0, 1.0]",0.18253952264785767,0.007372002467343097,1.0
R_27dw4UbFh02oLUB_Q2,R_27dw4UbFh02oLUB,stamp-letter-send,377,70,48,17,5,4.328571428571428,74.6,14.0,13.0,0.20465337748036666,0.03499764118875777,"[0.6533333333333333, 0.918918918918919, 0.9726027397260274, 1.0, 1.0]",0.1850312556539263,0.015055744000761706,1.0
R_2iUnWVtJB7cvKHj_Q2,R_2iUnWVtJB7cvKHj,stamp-letter-send,480,102,67,38,7,3.6176470588235294,67.71428571428571,14.571428571428571,13.0,0.20688427495074646,0.017183322187453987,"[0.6140350877192983, 0.9469026548672567, 0.9910714285714286, 1.0, 1.0]",0.15618546519960677,0.010593949060002106,0.5
R_8VyQYwyI8iMwwKJ_Q2,R_8VyQYwyI8iMwwKJ,stamp-letter-send,383,70,58,38,3,4.385714285714286,127.0,23.333333333333332,22.333333333333332,0.20464899131278394,0.0192029524826961,"[0.782051282051282, 1.0, 1.0, 1.0, 1.0]",0.16842869860785348,0.015064516335927147,1.0
R_8PvUUEqSWnAZrWx_Q2,R_8PvUUEqSWnAZrWx,stamp-letter-send,589,119,76,38,5,3.8739495798319328,117.0,23.8,20.6,0.19818625714666982,0.005215637143860516,"[0.6124031007751938, 0.9765625, 1.0, 1.0, 1.0]",0.15765877791813443,0.027989984668155388,0.5
R_8IgyrHkEhSlOgd5_Q2,R_8IgyrHkEhSlOgd5,stamp-letter-send,499,96,63,31,3,4.15625,165.66666666666666,32.0,25.333333333333332,0.20520299109079504,0.015266651518983737,"[0.6372549019607843, 0.9702970297029703, 0.99, 1.0, 1.0]",0.1614395703588213,0.013956516779904948,0.3333333333333333
R_8IgTefujpZYzrxD_Q2,R_8IgTefujpZYzrxD,stamp-letter-send,396,79,57,29,3,3.949367088607595,131.0,26.333333333333332,22.333333333333332,0.20624829219479868,0.012792716243050312,"[0.6941176470588235, 0.9880952380952381, 1.0, 1.0, 1.0]",0.16106331178120203,0.011865914571897673,1.0
R_25FmW7vrOnS60wE_Q2,R_25FmW7vrOnS60wE,stamp-letter-send,345,64,46,22,3,4.25,114.0,21.333333333333332,19.333333333333332,0.20624142420756353,0.02855496037574043,"[0.6933333333333334, 0.9594594594594594, 1.0, 1.0, 1.0]",0.2092884727886745,0.01187965054636797,1.0
R_8DSuE0JfUBgPxHX_Q2,R_8DSuE0JfUBgPxHX,stamp-letter-send,243,49,41,27,3,3.816326530612245,80.33333333333333,16.333333333333332,15.0,0.20323489228544753,0.01829026838143666,"[0.7142857142857143, 0.9516129032258065, 1.0, 1.0, 1.0]",0.20744545119149344,0.017892714390599973,1.0
R_8mJxG00fCL8kz05_Q2,R_8mJxG00fCL8kz05,stamp-letter-send,201,40,35,16,4,3.925,49.5,10.0,9.75,0.20723817845185596,0.06385222540961372,"[0.8181818181818182, 1.0, 1.0, 1.0, 1.0]",0.1828778028488159,0.009886142057783098,1.0
