result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
f96f84db63b6,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",534,92,64,48,5,0.6956521739130435,4.706521739130435,106.6,18.4,16.8,0,0,0,7,0,0,7,0.20842253247685466,0.005245388186339184,"[0.0007399426566229994, 0.004995924294596971, 0.003318547118793841, 0.0014363623026645567]","[0.6956521739130435, 0.967032967032967, 1.0, 1.0, 1.0]","[0.11956521739130435, 0.32967032967032966, 0.6, 0.7640449438202247, 0.9090909090909091]",1.6,3,2.945912924309509,8,8.6,12,79.16794339622642,7.483660377358493,0.2414194577352472,0.13627591706539074,0.1361323763955343,0.04302631578947368,0.07173444976076555,0.20839314194577352,0.09665869218500797,0.08808948776938698,0.011958936257610242,0.1
9025ba9b6908,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",382,80,58,36,3,0.725,3.7125,127.33333333333333,26.666666666666668,22.666666666666668,0,0,0,9,0,0,9,0.20853363568820651,0.04037163721554446,"[0.017199211559452865, 0.023172425656091594]","[0.725, 0.9746835443037974, 1.0, 1.0, 1.0]","[0.1375, 0.5063291139240507, 0.782051282051282, 0.922077922077922, 0.9868421052631579]",2.6666666666666665,6,3.164415619471799,9,10.0,12,89.27164794007493,8.177752808988767,0.23194444444444443,0.15138888888888888,0.05555555555555555,0.04583333333333333,0.12777777777777777,0.18611111111111112,0.10416666666666667,0.12572651379036182,0.011736729834906534,0.3333333333333333
e83c4d4086db,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",583,115,68,43,5,0.591304347826087,3.965217391304348,116.6,23.0,19.2,0,0,0,13,0,0,13,0.21107983483560588,0.027836815702728612,"[0.013330755760143309, 0.019188539012447797, 0.013136952089302711, 0.010017384543563407]","[0.591304347826087, 0.9649122807017544, 1.0, 1.0, 1.0]","[0.10434782608695652, 0.32456140350877194, 0.6283185840707964, 0.8035714285714286, 0.9279279279279279]",2.4,5,3.3222841656988,9,9.8,12,94.20333333333335,6.82740740740741,0.29046001290852547,0.0924387333998318,0.04072574598890388,0.007692307692307693,0.11830037747657884,0.16883249558306765,0.1416607013632185,0.12721324328220251,0.006644331540107795,0.2
b6382f24af2b,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",493,86,62,46,5,0.7209302325581395,4.674418604651163,98.6,17.2,16.0,4,0,0,3,0,4,3,0.2065936018879287,0.01168696364713094,"[0.001616547556004988, 0.0028241701893039484, 0.0025805882131210434, 0.0163526213358319]","[0.7209302325581395, 1.0, 1.0, 1.0, 1.0]","[0.12790697674418605, 0.4823529411764706, 0.7857142857142857, 0.963855421686747, 1.0]",1.0,2,2.726719532899913,7,6.6,8,81.62890909090909,6.792606060606062,0.23853174603174604,0.15341269841269842,0.09055555555555556,0.07761904761904762,0.08619047619047619,0.14984126984126983,0.0969047619047619,0.093375897768772,0.015616797435462182,0.2
13a7d58e30fd,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",500,89,59,41,5,0.6629213483146067,4.53932584269663,100.0,17.8,16.0,0,0,0,8,0,0,8,0.20602941113274273,0.014934371487058784,"[0.003301417948019608, 0.009035534208471141, 0.01646462910705143, 0.0010671617105753872]","[0.6629213483146067, 0.9772727272727273, 1.0, 1.0, 1.0]","[0.12359550561797752, 0.4318181818181818, 0.7011494252873564, 0.8372093023255814, 0.9411764705882353]",1.6,3,2.877569732742147,8,7.4,9,81.62311764705885,6.942470588235295,0.22584795321637427,0.1431578947368421,0.09660818713450292,0.0871345029239766,0.0871345029239766,0.16865497076023392,0.09099415204678363,0.09573685039173473,0.016745178945834105,0.1
8809e634893f,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",366,66,46,29,5,0.696969696969697,4.515151515151516,73.2,13.2,12.6,0,0,0,4,0,0,4,0.20087730341356963,0.030129339297612495,"[0.02035488420062595, 0.007071837451722879, 0.023276778913679574, 0.009555178029196587]","[0.696969696969697, 0.9384615384615385, 0.984375, 1.0, 1.0]","[0.16666666666666666, 0.46153846153846156, 0.671875, 0.8253968253968254, 0.9354838709677419]",1.4,3,2.5681972165282123,7,7.0,8,89.02477922077922,4.667948051948056,0.2422144522144522,0.13561771561771563,0.1168997668997669,0.015384615384615385,0.06205128205128205,0.18198135198135199,0.043333333333333335,0.1098950667814775,0.027049394384180303,0.5
8caa2a3cec74,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",507,84,64,44,5,0.7619047619047619,4.904761904761905,101.4,16.8,15.6,0,0,0,8,0,0,8,0.20561137253587897,0.015113716797223134,"[0.00919957293404472, 0.0009695339297491334, 0.013357830189523218, 0.006700496541129197]","[0.7619047619047619, 0.9759036144578314, 1.0, 1.0, 1.0]","[0.11904761904761904, 0.46987951807228917, 0.7195121951219512, 0.8641975308641975, 0.95]",1.0,2,2.821300649728069,8,7.6,9,81.62902970297033,6.891960396039604,0.21744152046783627,0.13160818713450292,0.14521929824561403,0.06907894736842105,0.09130116959064327,0.14577485380116958,0.09691520467836257,0.09005264983032689,0.01758125613956163,0.2
9cd921a868ef,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",344,62,49,38,4,0.7903225806451613,4.483870967741935,85.75,15.5,14.25,0,0,0,6,0,0,6,0.20567704349289917,0.012105270510628114,"[0.00826603836483425, 0.0036135402500120095, 0.006278327151095914]","[0.7903225806451613, 0.9836065573770492, 1.0, 1.0, 1.0]","[0.16129032258064516, 0.5573770491803278, 0.9, 0.9830508474576272, 1.0]",1.25,2,2.6591474723947552,6,6.5,7,92.215,4.86888888888889,0.22083916083916083,0.22706293706293706,0.10041958041958042,0.10965034965034966,0.09468531468531469,0.13965034965034967,0.03,0.09334165941585194,0.017449914225521224,0.2
482c1a8dbfcc,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",402,72,50,34,5,0.6944444444444444,4.5,80.4,14.4,13.4,0,0,0,5,0,0,5,0.2053312555141415,0.02345647717279102,"[0.016400168008274513, 0.010642298630305691, 0.003052909459386549, 0.01681757824761529]","[0.6944444444444444, 0.971830985915493, 1.0, 1.0, 1.0]","[0.1388888888888889, 0.43661971830985913, 0.6857142857142857, 0.8695652173913043, 0.9411764705882353]",1.0,1,2.612090718987271,7,7.6,10,88.06157142857145,5.15009523809524,0.26285552682611507,0.15548911872441284,0.09395604395604396,0.039649321266968324,0.069319650937298,0.17723281620340445,0.10663111398405516,0.10188593105836348,0.018141490183036568,0.5
cc56146f8f0d,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",509,85,58,40,5,0.6823529411764706,4.91764705882353,101.8,17.0,16.0,0,0,0,7,0,0,7,0.20692460536956786,0.008602469953107636,"[0.0015519991065516547, 0.002029685540632764, 0.0014937207296297217, 0.012129534529401131]","[0.6823529411764706, 0.9404761904761905, 0.9759036144578314, 0.9878048780487805, 1.0]","[0.1411764705882353, 0.47619047619047616, 0.7951807228915663, 0.9634146341463414, 1.0]",2.0,4,2.8127521343465616,8,9.4,11,79.9198181818182,7.030989898989901,0.24714138286893705,0.17308565531475748,0.09915376676986584,0.03529411764705882,0.07863777089783282,0.1332094943240454,0.0603921568627451,0.09398042071949352,0.014954790472183843,0.1
