result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
92e691675a09,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",537,82,65,49,5,0.7926829268292683,5.378048780487805,107.2,16.4,15.8,0,0,0,4,0,0,4,0.21150208254452466,0.010714076332047462,"[0.009758557264621437, 0.005931222795421243, 0.001901868316862343, 0.0038365042871899013]","[0.7926829268292683, 1.0, 1.0, 1.0, 1.0]","[0.12195121951219512, 0.3950617283950617, 0.6875, 0.8860759493670886, 0.9487179487179487]",1.6,3,2.6266684685570136,6,6.4,8,74.92803960396041,7.826613861386139,0.2688034188034188,0.1205982905982906,0.20435897435897435,0.06188034188034188,0.043333333333333335,0.1470940170940171,0.09521367521367521,0.15754749763359144,0.011073325207219376,0.25
a2535117449f,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",447,75,59,46,5,0.7866666666666666,4.866666666666666,89.4,15.0,14.4,0,0,0,4,0,0,4,0.2149805902858863,0.006628110785504945,"[0.00901642712679776, 0.0014264735308560372, 0.00010629290282124226, 0.002707028010534851]","[0.7866666666666666, 1.0, 1.0, 1.0, 1.0]","[0.14666666666666667, 0.4864864864864865, 0.8356164383561644, 0.9722222222222222, 1.0]",2.6,3,2.639398326898327,7,6.6,9,93.796,4.549000000000003,0.33695187165775403,0.14140819964349377,0.0759313725490196,0.06062834224598931,0.060294117647058824,0.12562834224598932,0.06259803921568627,0.1507516613284361,0.004116309724496059,0.14285714285714285
9e0b837263d1,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",388,73,47,35,3,0.6438356164383562,4.164383561643835,128.66666666666666,24.333333333333332,19.0,0,0,0,5,0,0,5,0.21013066979015574,0.0088212268895482,"[0.006895871822563432, 0.0019253550669847685]","[0.6438356164383562, 0.9305555555555556, 1.0, 1.0, 1.0]","[0.1095890410958904, 0.3055555555555556, 0.5492957746478874, 0.7714285714285715, 0.927536231884058]",1.0,1,3.4522419315102244,9,9.333333333333334,11,81.33368217054264,9.036511627906979,0.30831265508684863,0.10023779983457402,0.06317204301075269,0.01075268817204301,0.11765922249793218,0.2194995864350703,0.146712158808933,0.15756712492229868,0.01381615071595721,0.2
d6e0c84d5fbd,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",522,92,62,46,5,0.6739130434782609,4.565217391304348,104.4,18.4,17.2,0,0,0,2,0,0,2,0.21187386622175503,0.006577602760259052,"[0.002221053176456017, 0.0026306428897657497, 0.006828033662104355, 0.0014754757921919825]","[0.6739130434782609, 0.967032967032967, 1.0, 1.0, 1.0]","[0.11956521739130435, 0.45054945054945056, 0.7111111111111111, 0.8539325842696629, 0.9431818181818182]",2.4,3,2.8472815107597715,7,7.6,9,92.98318181818182,5.755454545454544,0.26864661654135336,0.1439097744360902,0.1554887218045113,0.031052631578947366,0.031052631578947366,0.13172932330827067,0.1069172932330827,0.1487103995767612,0.010329757852758636,0.07142857142857142
a5232538b7d6,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",588,98,77,47,5,0.7857142857142857,4.948979591836735,117.6,19.6,18.4,3,1,0,7,1,4,8,0.21253479431339373,0.00799448840846921,"[0.005199531841481864, 0.00374413231313922, 0.004260103810917265, 0.002785208851400073]","[0.7857142857142857, 0.9896907216494846, 1.0, 1.0, 1.0]","[0.12244897959183673, 0.41237113402061853, 0.7708333333333334, 0.9368421052631579, 0.9893617021276596]",3.2,6,2.871811736708443,9,8.4,11,78.33316814159295,7.947893805309736,0.2719298245614035,0.15263157894736842,0.06271929824561404,0.04824561403508772,0.11096491228070175,0.10657894736842105,0.09824561403508772,0.15337816951344313,0.009007901669481233,0.14285714285714285
f44d7666d25c,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",331,52,41,25,3,0.7884615384615384,5.1923076923076925,109.66666666666667,17.333333333333332,15.666666666666666,0,0,0,6,1,0,7,0.20950399617354076,0.010660802939581465,"[0.0061194992727703346, 0.004541303666811131]","[0.7884615384615384, 0.9411764705882353, 0.98, 1.0, 1.0]","[0.19230769230769232, 0.5490196078431373, 0.84, 0.9591836734693877, 1.0]",2.3333333333333335,4,2.662971926993815,6,8.0,10,86.14857142857144,6.460317460317459,0.22413570691434467,0.17518059855521156,0.11803405572755418,0.04044117647058824,0.15557275541795665,0.11680856553147574,0.054695562435500514,0.17007212384233197,0.01506949794918716,0.5
00c53bb0d3a1,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",459,76,60,38,4,0.7894736842105263,4.7894736842105265,114.75,19.0,17.75,0,0,0,2,1,0,3,0.21241737836455213,0.020499571460410277,"[0.016014030764973375, 0.002369512168187954, 0.012365814257454089]","[0.7894736842105263, 1.0, 1.0, 1.0, 1.0]","[0.17105263157894737, 0.4666666666666667, 0.8108108108108109, 0.9315068493150684, 0.9722222222222222]",2.75,7,2.8026317066239717,10,7.75,10,89.42284090909092,6.935227272727271,0.2753100613154961,0.17408723522853958,0.09575320512820513,0.015625,0.05253623188405797,0.17363433667781494,0.08829779821627648,0.17763422125751532,0.00924273356716443,0.5
f807342939b4,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",435,77,59,46,5,0.7662337662337663,4.571428571428571,87.0,15.4,14.2,0,0,0,3,0,0,3,0.2138999160937065,0.004609192346597651,"[0.0017079499032762457, 0.005251198525380613, 0.0019410911834601141, 0.0003181450810783304]","[0.7662337662337663, 1.0, 1.0, 1.0, 1.0]","[0.14285714285714285, 0.4605263157894737, 0.7733333333333333, 0.918918918918919, 0.9863013698630136]",0.6,1,2.6096287046287046,6,7.0,9,93.625,4.672222222222224,0.29332706766917294,0.18157894736842103,0.08571428571428572,0.06588345864661654,0.035526315789473684,0.17086466165413533,0.07640977443609022,0.1389368072296809,0.006277658108855666,0.07142857142857142
2916d8011357,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",521,87,67,50,5,0.7701149425287356,4.885057471264368,104.2,17.4,16.6,0,0,0,5,0,0,5,0.2116029596815304,0.0043949170481591,"[0.003960975372430037, 0.0017441077665849292, 0.0007963349292804678, 0.002288416028022766]","[0.7701149425287356, 1.0, 1.0, 1.0, 1.0]","[0.11494252873563218, 0.43023255813953487, 0.6941176470588235, 0.8452380952380952, 0.891566265060241]",1.6,3,2.980827334403164,10,7.6,11,78.27853465346537,7.359287128712875,0.25383333333333336,0.14066666666666666,0.16383333333333333,0.008,0.059666666666666666,0.13083333333333333,0.1185,0.16309730578394768,0.010871570933207897,0.3333333333333333
73f5f43f51db,"['gemini-1.5', 'low']","['model_type', 'semantic_distance']",469,86,62,42,5,0.7209302325581395,4.3604651162790695,93.6,17.2,15.8,0,0,0,10,0,0,10,0.20695220586453303,0.010544059011671283,"[0.0013200153004039317, 0.0076330036828012315, 0.001503981484307193, 0.01063111755583021]","[0.7209302325581395, 0.9882352941176471, 1.0, 1.0, 1.0]","[0.13953488372093023, 0.47058823529411764, 0.7738095238095238, 0.9036144578313253, 0.975609756097561]",2.2,5,2.9508337229234844,9,8.4,11,96.15618181818182,4.766343434343437,0.23277863777089783,0.16122291021671825,0.08184984520123839,0.08308823529411764,0.12914086687306503,0.12840557275541797,0.08010835913312693,0.17035113376321145,0.02017307856720263,0.16666666666666666
