result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
6a75a984045e,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",373,63,49,34,3,0.7777777777777778,4.7936507936507935,123.66666666666667,21.0,19.0,0,0,0,4,0,0,4,0.21614444787064552,0.025534311122510034,"[0.0058163876061911035, 0.01971792351631893]","[0.7777777777777778, 1.0, 1.0, 1.0, 1.0]","[0.15873015873015872, 0.45161290322580644, 0.7868852459016393, 0.9333333333333333, 1.0]",4.0,6,3.2811286335539553,11,9.666666666666666,14,75.51748858447492,8.771232876712329,0.26959876543209876,0.1867283950617284,0.09552469135802469,0.0,0.10354938271604938,0.1449074074074074,0.06651234567901235,0.134308702805463,0.0010833852099481067,0.25
86cf30cee305,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",369,70,53,34,4,0.7571428571428571,4.1,91.5,17.5,14.75,0,0,0,5,0,0,5,0.21212260757113097,0.03565667094235837,"[0.005002090564140915, 0.01848683754603067, 0.02999607830336598]","[0.7571428571428571, 0.9855072463768116, 1.0, 1.0, 1.0]","[0.14285714285714285, 0.43478260869565216, 0.6911764705882353, 0.8656716417910447, 0.9696969696969697]",1.5,3,3.0537163141118517,8,8.0,10,96.89142857142858,4.961904761904762,0.22987483530961791,0.18689064558629775,0.061133069828722006,0.010869565217391304,0.10253623188405797,0.19703557312252964,0.12226613965744401,0.14063959378822177,0.006960295389080995,0.3333333333333333
3e5b74026010,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",585,107,75,54,5,0.7009345794392523,4.392523364485982,117.0,21.4,18.8,0,0,0,5,0,0,5,0.208752475278016,0.006177830638049497,"[0.0006744897726810584, 0.0006748689545525433, 0.010384621179809123, 0.0006216813690562706]","[0.7009345794392523, 0.9716981132075472, 1.0, 1.0, 1.0]","[0.12149532710280374, 0.36792452830188677, 0.6761904761904762, 0.8653846153846154, 0.9611650485436893]",2.0,4,3.469098934000981,8,9.6,11,85.18500000000003,7.34,0.2793916162956411,0.16814290628532114,0.07848149786230281,0.010526315789473684,0.05470342522974102,0.1783517617573345,0.11253722541648238,0.12236363046309527,0.013700559975310944,0.1111111111111111
f9daad4f7085,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",501,94,67,46,5,0.7127659574468085,4.26595744680851,100.2,18.8,16.6,0,0,0,6,0,0,6,0.21338046599125515,0.02322538493608234,"[0.00777491482477341, 0.013891861159286228, 0.00837128539370674, 0.016412708494398298]","[0.7127659574468085, 0.978494623655914, 1.0, 1.0, 1.0]","[0.11702127659574468, 0.3978494623655914, 0.717391304347826, 0.8571428571428571, 0.9666666666666667]",2.2,4,3.195988812452227,10,9.6,14,94.47428571428574,5.299047619047617,0.24036199095022626,0.158815987933635,0.10567873303167422,0.0,0.09676470588235295,0.17208898944193063,0.09263197586726998,0.1231454049839693,0.004444578548832623,0.1111111111111111
5c94b863a797,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",477,90,64,38,4,0.7111111111111111,4.166666666666667,118.5,22.5,20.0,0,0,0,9,2,0,11,0.2144037953142082,0.0079202830189406,"[0.007661383651723752, 0.004073848327000917, 0.0001451925496862294]","[0.7111111111111111, 0.9775280898876404, 1.0, 1.0, 1.0]","[0.12222222222222222, 0.38202247191011235, 0.6818181818181818, 0.8390804597701149, 0.9302325581395349]",2.5,5,3.3089707652997293,10,10.25,12,89.33730769230772,7.257692307692309,0.2887174833635814,0.10841759571342148,0.05420879785671074,0.021778584392014518,0.1276899144412756,0.1836055656382335,0.12157549045026358,0.13830748492596195,0.0023979199029265374,0.1111111111111111
3fefaa44d74c,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",395,71,50,33,4,0.704225352112676,4.436619718309859,98.0,17.75,14.5,0,0,0,4,0,0,4,0.20970143964796356,0.010187426035997111,"[0.003268656986100321, 0.0030453034809657664, 0.00896717858692958]","[0.704225352112676, 1.0, 1.0, 1.0, 1.0]","[0.1267605633802817, 0.37142857142857144, 0.6231884057971014, 0.8382352941176471, 0.9701492537313433]",3.0,6,3.0198490404119207,8,7.75,9,86.98359756097562,6.219634146341463,0.3414473684210526,0.1401315789473684,0.017857142857142856,0.0,0.09464285714285714,0.15930451127819548,0.11983082706766918,0.12736966095718683,0.011802631235415806,0.14285714285714285
33e62d965886,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",372,69,52,34,3,0.7536231884057971,4.231884057971015,123.33333333333333,23.0,20.666666666666668,0,0,0,7,0,0,7,0.21347522023739873,0.028437032324053868,"[0.013444958152351805, 0.014992074171702063]","[0.7536231884057971, 1.0, 1.0, 1.0, 1.0]","[0.13043478260869565, 0.39705882352941174, 0.746268656716418, 0.9393939393939394, 1.0]",1.6666666666666667,2,3.149910394265233,8,8.666666666666666,10,83.1428861788618,8.452926829268293,0.2659313725490196,0.14754901960784314,0.09669117647058824,0.03627450980392157,0.13259803921568628,0.19215686274509805,0.09877450980392156,0.15233778953552246,0.0042550700565454624,0.1111111111111111
deb07d3826d2,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",348,65,43,29,3,0.6615384615384615,4.2153846153846155,115.33333333333333,21.666666666666668,17.666666666666668,0,0,0,5,0,0,5,0.21347881112192651,0.003950279316609462,"[0.0024533627912251554, 0.0014969165253843064]","[0.6615384615384615, 0.921875, 0.9841269841269841, 1.0, 1.0]","[0.15384615384615385, 0.375, 0.5873015873015873, 0.7419354838709677, 0.8360655737704918]",2.3333333333333335,3,3.307936507936508,11,9.333333333333334,10,89.84271929824563,7.021578947368422,0.3092917478882391,0.10201429499675113,0.05263157894736842,0.029889538661468484,0.07732293697205977,0.2267706302794022,0.14944769330734242,0.1612912007406646,0.004247888287489898,0.1111111111111111
9e0b837263d1,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",388,73,47,35,3,0.6438356164383562,4.164383561643835,128.66666666666666,24.333333333333332,19.0,0,0,0,5,0,0,5,0.21013066979015574,0.0088212268895482,"[0.006895871822563432, 0.0019253550669847685]","[0.6438356164383562, 0.9305555555555556, 1.0, 1.0, 1.0]","[0.1095890410958904, 0.3055555555555556, 0.5492957746478874, 0.7714285714285715, 0.927536231884058]",1.0,1,3.4522419315102244,9,9.333333333333334,11,81.33368217054264,9.036511627906979,0.30831265508684863,0.10023779983457402,0.06317204301075269,0.01075268817204301,0.11765922249793218,0.2194995864350703,0.146712158808933,0.13916005690892538,0.010944170951031451,0.14285714285714285
f5f6fe4f3281,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",539,100,62,41,4,0.62,4.28,134.0,25.0,20.75,0,0,0,9,0,0,9,0.21168775296792752,0.007400270664330706,"[0.0002794254909862237, 0.0031319000504233807, 0.0076890804550864555]","[0.62, 0.9797979797979798, 1.0, 1.0, 1.0]","[0.1, 0.3838383838383838, 0.6326530612244898, 0.8247422680412371, 0.9166666666666666]",2.5,4,3.9719638615453237,11,10.0,14,83.99535714285717,8.499642857142856,0.2972335730630925,0.08680805274054701,0.06531682467037157,0.04768170426065163,0.08837583088155171,0.19100059932439795,0.14366623079437724,0.14670739454381607,0.007830004595487883,0.14285714285714285
