result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
c1136831fecf,"['gpt-4', 'low']","['model_type', 'semantic_distance']",728,133,90,63,5,0.6766917293233082,4.368421052631579,144.8,26.6,24.4,0,0,0,4,0,0,4,0.2098799192533088,0.01007097321504366,"[0.004985438170386297, 0.00561558708096993, 0.00337275560155062, 0.006168165577180473]","[0.6766917293233082, 0.9393939393939394, 0.9923664122137404, 1.0, 1.0]","[0.09774436090225563, 0.32575757575757575, 0.6259541984732825, 0.8461538461538461, 0.9612403100775194]",3.6,5,3.9323519407763103,14,10.0,12,83.43482352941179,9.223738562091505,0.2617741935483871,0.14695340501792115,0.056332138590203105,0.007407407407407407,0.044139784946236556,0.15488649940262844,0.15556750298685781,0.1500865053204657,0.01699963019374301,0.14285714285714285
6c96ddfbafd7,"['gpt-4', 'low']","['model_type', 'semantic_distance']",814,139,89,66,5,0.6402877697841727,4.726618705035971,162.0,27.8,24.0,0,0,0,8,0,0,8,0.2113366073939628,0.007176785449405296,"[0.00036545823781919395, 0.0013383667056377224, 0.0090416466196378, 0.0036080993357158753]","[0.6402877697841727, 0.9565217391304348, 0.9854014598540146, 0.9926470588235294, 1.0]","[0.09352517985611511, 0.35507246376811596, 0.6423357664233577, 0.8235294117647058, 0.9111111111111111]",3.8,6,3.5877612368929883,11,11.0,14,70.88505063291142,11.222607594936715,0.22506410256410256,0.1393653846153846,0.10090384615384616,0.035993589743589745,0.06471153846153846,0.1664294871794872,0.13812820512820512,0.1561960057147498,0.01408625391243501,0.16666666666666666
82a49e554ea9,"['gpt-4', 'low']","['model_type', 'semantic_distance']",718,119,75,50,5,0.6302521008403361,4.882352941176471,142.8,23.8,21.2,0,0,0,4,3,0,7,0.21421977714616425,0.011859567251516656,"[0.0012998091868865191, 0.00722153925951266, 0.004471406792149385, 0.010726379264484748]","[0.6302521008403361, 0.940677966101695, 1.0, 1.0, 1.0]","[0.10084033613445378, 0.3983050847457627, 0.7264957264957265, 0.9137931034482759, 0.991304347826087]",4.0,7,3.4470621311353282,12,9.0,13,73.93310791366906,9.853438848920867,0.26195454545454544,0.14020454545454547,0.12668181818181817,0.02225,0.06843181818181818,0.13986363636363636,0.10427272727272727,0.1540435749350242,0.008319914408032092,0.125
cad9648135ca,"['gpt-4', 'low']","['model_type', 'semantic_distance']",652,114,79,50,5,0.6929824561403509,4.543859649122807,129.6,22.8,21.0,1,0,2,5,2,1,7,0.20765858489639905,0.002011620602407657,"[0.0012155327346775047, 0.0010129457587128576, 0.001035670258782151, 0.0007590924526428011]","[0.6929824561403509, 0.9646017699115044, 0.9910714285714286, 1.0, 1.0]","[0.11403508771929824, 0.4690265486725664, 0.8125, 0.972972972972973, 1.0]",3.2,4,3.8428404928404927,12,9.6,12,83.4299411764706,8.379764705882355,0.22363025210084034,0.15800840336134453,0.09629411764705882,0.03061904761904762,0.08980952380952381,0.11505042016806723,0.13138375350140055,0.15598342603850132,0.021442298907562496,0.2
ce1e574bf653,"['gpt-4', 'low']","['model_type', 'semantic_distance']",569,103,77,41,5,0.7475728155339806,4.41747572815534,113.0,20.6,19.0,0,0,0,5,4,0,9,0.20728455440300267,0.0059460922108068165,"[0.0003942791861717143, 0.0018877900309032802, 0.005697777867317205, 0.003912337337221433]","[0.7475728155339806, 0.9901960784313726, 1.0, 1.0, 1.0]","[0.1262135922330097, 0.46078431372549017, 0.7722772277227723, 0.93, 0.98989898989899]",3.6,8,3.1763399209486165,10,9.8,14,83.22506779661018,7.513999999999999,0.2388556712023162,0.181539578258409,0.05628019323671497,0.024014336917562724,0.11273098595014885,0.11819221967963386,0.08795346243120658,0.1471191158572447,0.02219035989435525,0.25
47afc67804e7,"['gpt-4', 'low']","['model_type', 'semantic_distance']",607,106,76,53,5,0.7169811320754716,4.632075471698113,120.6,21.2,19.4,0,0,0,6,0,0,6,0.21144092346829496,0.01034299955640361,"[0.010528129644882978, 0.005675578728700309, 0.0009910979841509238, 0.003491192755073008]","[0.7169811320754716, 0.9809523809523809, 1.0, 1.0, 1.0]","[0.09433962264150944, 0.3333333333333333, 0.5961538461538461, 0.8058252427184466, 0.9215686274509803]",2.4,5,3.088389355742297,7,7.8,10,79.54500000000004,8.126666666666665,0.2741385112397362,0.15398102032575042,0.09881657468479382,0.0,0.05144927536231884,0.14587764167451878,0.1515064836003051,0.14729920174311667,0.013877621763770664,0.2
a6193b8f610b,"['gpt-4', 'low']","['model_type', 'semantic_distance']",623,100,77,51,5,0.77,5.04,123.8,20.0,19.4,0,0,0,7,2,0,9,0.21395838489719465,0.013541769792163177,"[0.007083795184180841, 0.0022417437462579626, 0.005926485572542467, 0.011831515081345084]","[0.77, 0.9696969696969697, 1.0, 1.0, 1.0]","[0.12, 0.42424242424242425, 0.7959183673469388, 0.9587628865979382, 1.0]",2.6,4,3.0376293732396755,8,8.8,11,80.89183471074382,7.988495867768595,0.23924812030075188,0.18515288220551376,0.07262155388471178,0.0,0.10572431077694235,0.10747869674185463,0.12924310776942355,0.14967569564152688,0.00884269890597128,0.5
b0f9413a51c0,"['gpt-4', 'low']","['model_type', 'semantic_distance']",481,88,68,45,5,0.7727272727272727,4.3522727272727275,95.4,17.6,16.8,0,0,0,8,0,0,8,0.2113295707437727,0.023814157479339196,"[0.012779538830121367, 0.012115130821863829, 0.003935854302512282, 0.018797791004180914]","[0.7727272727272727, 0.9770114942528736, 1.0, 1.0, 1.0]","[0.125, 0.3563218390804598, 0.6976744186046512, 0.9058823529411765, 0.9642857142857143]",1.6,2,3.0010699515538226,7,9.0,12,95.72311764705886,4.97580392156863,0.25126050420168067,0.16596638655462184,0.061624649859943974,0.011764705882352941,0.1400560224089636,0.13949579831932774,0.13263305322128852,0.15333538726695534,0.014100327212815178,0.25
2bacf627bafd,"['gpt-4', 'low']","['model_type', 'semantic_distance']",490,88,63,44,5,0.7159090909090909,4.4772727272727275,97.2,17.6,15.6,0,0,0,8,0,0,8,0.2097005472374769,0.011749287777476858,"[0.008952587180667465, 0.0011027971903483091, 0.004109110434850072, 0.00933408074908787]","[0.7159090909090909, 0.9770114942528736, 1.0, 1.0, 1.0]","[0.125, 0.367816091954023, 0.6744186046511628, 0.8705882352941177, 0.9880952380952381]",2.4,4,2.9581819238593434,8,8.0,10,82.48589795918369,6.623387755102041,0.2854925303454715,0.1809873949579832,0.06111111111111111,0.021288515406162466,0.08832866479925303,0.18087068160597572,0.11479925303454715,0.15007349067521328,0.017358374225406814,0.2
4f4a6498c416,"['gpt-4', 'low']","['model_type', 'semantic_distance']",751,127,92,60,5,0.7244094488188977,4.811023622047244,149.4,25.4,22.0,0,0,0,5,0,0,5,0.21339188598643588,0.006521408466631143,"[0.002200859905493374, 0.002875255074417382, 0.001017446812006606, 0.006949255141344923]","[0.7244094488188977, 0.9841269841269841, 1.0, 1.0, 1.0]","[0.10236220472440945, 0.38095238095238093, 0.712, 0.9112903225806451, 0.991869918699187]",3.4,5,3.350255228181058,11,10.0,12,73.028,10.228111111111115,0.30098343685300205,0.11573498964803312,0.05809523809523809,0.005714285714285714,0.06097308488612836,0.1446583850931677,0.1643064182194617,0.1586626166278876,0.009975696727488825,0.2
