result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dependency_num_clauses,metric_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_max_dependency_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
5338d65e752d,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",767,130,87,53,5,4.792307692307692,152.6,26.0,23.6,0.21180217549832017,0.008149756958778676,"[0.008920832664247536, 0.0030352397914572837, 0.002016714606622255, 0.0023267268552302767]","[0.6692307692307692, 0.9534883720930233, 0.984375, 1.0, 1.0]","[0.09230769230769231, 0.4186046511627907, 0.6953125, 0.8582677165354331, 0.9206349206349206]",3.4,5,3.639443001566989,10,0.09185676752252782,0.005515602842607603,0.16666666666666666
6bfc2e587ab2,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",735,128,92,56,5,4.671875,146.2,25.6,23.2,0.21094402020627803,0.007897069719102645,"[0.008644072094348948, 0.002712058298515535, 0.001506298961061442, 0.0029317100842793653]","[0.71875, 0.984251968503937, 1.0, 1.0, 1.0]","[0.0859375, 0.3228346456692913, 0.5634920634920635, 0.744, 0.8467741935483871]",1.8,3,3.3067315938252504,10,0.08960500169307628,0.007231913426691883,0.07142857142857142
d2ff03079092,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",720,114,80,53,5,5.245614035087719,143.2,22.8,20.8,0.21299889091137358,0.01785121342889448,"[0.020990577008989125, 0.011417148867224003, 0.0011532376537392863, 0.002141463327836546]","[0.7017543859649122, 0.9646017699115044, 0.9821428571428571, 0.990990990990991, 1.0]","[0.10526315789473684, 0.4247787610619469, 0.7589285714285714, 0.918918918918919, 0.9727272727272728]",3.0,4,3.401652825071798,10,0.10523738632810876,0.0031221720165007794,0.2
d7016eec13cf,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",705,124,87,52,5,4.524193548387097,140.2,24.8,22.6,0.2083350772411755,0.00751714961869375,"[0.003114668528238912, 0.005709903890436324, 0.0033169577970649233, 0.00289276902164734]","[0.7016129032258065, 0.991869918699187, 1.0, 1.0, 1.0]","[0.10483870967741936, 0.5203252032520326, 0.8688524590163934, 0.9586776859504132, 0.9916666666666667]",4.0,7,3.4051119458468797,11,0.12386213845395028,0.01244979935689694,0.14285714285714285
ce270770169b,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",688,115,88,57,5,4.878260869565217,136.8,23.0,21.6,0.20912902964685195,0.011523466585465533,"[0.00036555609059713, 0.0010789753425688997, 0.01635758005655727, 0.0052448216812077675]","[0.7652173913043478, 0.9912280701754386, 1.0, 1.0, 1.0]","[0.10434782608695652, 0.4473684210526316, 0.8141592920353983, 0.9553571428571429, 1.0]",3.6,5,2.924662330488891,9,0.11892985283060277,0.010861894545544037,0.3333333333333333
9a71cdf585dc,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",603,101,80,49,5,4.811881188118812,119.8,20.2,19.4,0.21270566636405022,0.017836257664844257,"[0.014998185634613026, 0.010246430502997506, 0.009605114989810537, 0.0008227842022674459]","[0.7920792079207921, 0.99, 1.0, 1.0, 1.0]","[0.1188118811881188, 0.46, 0.8484848484848485, 0.9285714285714286, 0.9690721649484536]",3.0,5,2.789466452631006,6,0.11308619189769664,0.003708621111147503,0.2
2570bf7d4ebe,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",655,111,84,51,5,4.801801801801802,130.2,22.2,20.6,0.21281896703383502,0.007997476155795755,"[0.008920832664247536, 0.0030352397914572837, 0.00046307020115129993, 0.00357580965473539]","[0.7567567567567568, 0.990909090909091, 1.0, 1.0, 1.0]","[0.10810810810810811, 0.45454545454545453, 0.7431192660550459, 0.8888888888888888, 0.9439252336448598]",2.4,4,3.0724673124430693,9,0.09613338937150671,0.0034820197715779155,0.16666666666666666
7ca79d32a6eb,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",796,132,94,61,5,4.916666666666667,158.4,26.4,24.2,0.21257603220600899,0.00845193248938901,"[0.008920832664247536, 0.0017666256908095423, 0.004497571305914244, 0.0017188353178066995]","[0.7121212121212122, 0.9847328244274809, 1.0, 1.0, 1.0]","[0.09090909090909091, 0.3893129770992366, 0.6923076923076923, 0.8527131782945736, 0.9453125]",3.0,5,3.5817576235164887,9,0.10296542340136589,0.003967889427229976,0.16666666666666666
dc3837eaf679,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",778,131,92,61,5,4.885496183206107,154.8,26.2,24.0,0.2077117560665464,0.011565870965750638,"[0.008644072094348948, 0.0010465518994764722, 0.013063690551630147, 0.0003774273860457089]","[0.7022900763358778, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.0916030534351145, 0.33076923076923076, 0.6434108527131783, 0.859375, 0.9448818897637795]",2.8,6,3.4179844055914104,10,0.0901422640110584,0.013696441706155138,0.07142857142857142
9a21374fd185,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",767,136,89,62,5,4.522058823529412,152.6,27.2,24.6,0.2130490591260001,0.013391584345131324,"[0.003660611469885361, 0.013336949296050005, 0.007424006641129438, 0.002361601283197845]","[0.6544117647058824, 0.9851851851851852, 1.0, 1.0, 1.0]","[0.08823529411764706, 0.3037037037037037, 0.6567164179104478, 0.8646616541353384, 0.946969696969697]",3.4,5,3.175941187867184,8,0.16691665446504633,0.003021835587247723,0.3333333333333333
3cdd634c6f5e,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",779,134,89,58,5,4.701492537313433,155.0,26.8,24.8,0.21115483111925581,0.007698772554723621,"[0.008920832664247536, 0.0005097816053892812, 0.0024933677678014576, 0.003473563072008967]","[0.664179104477612, 0.9849624060150376, 1.0, 1.0, 1.0]","[0.08955223880597014, 0.3383458646616541, 0.6590909090909091, 0.8625954198473282, 0.9538461538461539]",3.8,6,3.188600324025856,9,0.1000354619736367,0.006810291600736318,0.07142857142857142
286463a59554,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",717,113,82,58,5,5.265486725663717,142.6,22.6,20.4,0.21252649016475506,0.01574861300098787,"[0.016397500038146967, 0.009818137787676928, 0.0037660064238371205, 0.0015155817523147264]","[0.7256637168141593, 0.9910714285714286, 1.0, 1.0, 1.0]","[0.10619469026548672, 0.41964285714285715, 0.7027027027027027, 0.8363636363636363, 0.9357798165137615]",2.8,4,3.465129950794547,10,0.10335192147721635,0.004066973509737837,0.07142857142857142
c5aa0bbc8da0,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",548,93,74,44,5,4.741935483870968,108.8,18.6,18.2,0.2101391184657623,0.01048316821391447,"[0.001167272528012575, 0.0036025437570753605, 0.011448332241603298, 0.004748187901137707]","[0.7956989247311828, 0.9891304347826086, 1.0, 1.0, 1.0]","[0.13978494623655913, 0.5869565217391305, 0.9120879120879121, 0.9777777777777777, 0.9887640449438202]",3.2,5,2.7769758259593926,7,0.123455359580669,0.00884171690772334,0.14285714285714285
45b729c8b17d,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",799,133,94,60,5,4.894736842105263,159.0,26.6,24.4,0.21172876085265208,0.01089146345083028,"[0.008920832664247536, 0.0017666256908095423, 0.004497571305914244, 0.006597897240689238]","[0.706766917293233, 0.9848484848484849, 1.0, 1.0, 1.0]","[0.09022556390977443, 0.38636363636363635, 0.6946564885496184, 0.8538461538461538, 0.9457364341085271]",3.0,5,3.37635106753522,9,0.10294806576789693,0.0056624321339437955,0.16666666666666666
a07b9c085fec,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",645,110,83,55,5,4.763636363636364,128.2,22.0,21.4,0.21233486013380365,0.004305955819916288,"[0.003371757268905623, 0.000520769092771739, 0.002105273140801306, 0.002614112137353908]","[0.7545454545454545, 0.9908256880733946, 1.0, 1.0, 1.0]","[0.10909090909090909, 0.42201834862385323, 0.7314814814814815, 0.8785046728971962, 0.9433962264150944]",3.4,5,3.0714403764944502,9,0.12211121777270703,0.004450233571640649,0.16666666666666666
1d80e63cab8b,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",862,147,91,61,5,4.761904761904762,171.6,29.4,25.8,0.213914666280069,0.02102416207508795,"[0.00664594125266027, 0.016282220993166674, 0.013552142514122872, 0.005568019390226081]","[0.6190476190476191, 0.958904109589041, 0.993103448275862, 1.0, 1.0]","[0.08163265306122448, 0.3424657534246575, 0.6275862068965518, 0.8125, 0.8951048951048951]",3.6,6,3.1942797207574825,9,0.11035172609572715,0.0012906212791099492,0.25
940692ccb736,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",730,124,90,56,5,4.782258064516129,145.2,24.8,23.4,0.20965679032461984,0.012489308089841555,"[0.004049885622310984, 0.006897217565244945, 0.002662782717232748, 0.011368730274894434]","[0.7258064516129032, 0.983739837398374, 1.0, 1.0, 1.0]","[0.10483870967741936, 0.4796747967479675, 0.7950819672131147, 0.9504132231404959, 0.9833333333333333]",3.0,5,3.160377512127512,9,0.11681145936884779,0.009806373190008266,0.14285714285714285
c945059334a8,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",600,105,79,48,5,4.59047619047619,119.2,21.0,20.4,0.2098136635114115,0.020466261243023615,"[0.008738497893015562, 0.013969447877671987, 0.012480371782922328, 0.005744204932437352]","[0.7523809523809524, 0.9807692307692307, 1.0, 1.0, 1.0]","[0.12380952380952381, 0.5, 0.8543689320388349, 0.9705882352941176, 1.0]",3.6,5,2.884960828960829,8,0.12607957327619512,0.009492626816424932,0.14285714285714285
8fe7561771a1,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",807,140,92,57,5,4.678571428571429,160.6,28.0,25.8,0.21072694801148914,0.01438274051762932,"[0.008920832664247536, 0.009267837447779509, 0.007348426537854308, 0.0032283843853772864]","[0.6571428571428571, 0.9784172661870504, 1.0, 1.0, 1.0]","[0.08571428571428572, 0.33093525179856115, 0.6086956521739131, 0.8248175182481752, 0.9485294117647058]",3.2,6,3.2974719869541227,9,0.09404134243092638,0.007666057816269667,0.07142857142857142
65f79d37e7a3,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",807,138,98,62,5,4.768115942028985,160.6,27.6,25.2,0.21140099451190136,0.017264518684599342,"[0.01083743179237448, 0.0018303290064081712, 0.010028656233440736, 0.011832620336975297]","[0.7101449275362319, 0.9708029197080292, 1.0, 1.0, 1.0]","[0.08695652173913043, 0.35036496350364965, 0.6764705882352942, 0.8814814814814815, 0.9626865671641791]",3.6,5,3.6107704033771104,10,0.10891771062891534,0.006317964815445221,0.25
ced45fdab836,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",883,149,99,69,5,4.8389261744966445,175.8,29.8,26.8,0.21223341028911885,0.012825195946814485,"[0.008920832664247536, 0.0018427678516932944, 0.004287542861883709, 0.010599248515804433]","[0.6644295302013423, 0.9662162162162162, 1.0, 1.0, 1.0]","[0.0738255033557047, 0.3310810810810811, 0.6258503401360545, 0.8424657534246576, 0.9379310344827586]",3.2,5,3.5664107244522607,11,0.09779815217281909,0.004653133261010245,0.07142857142857142
740b3c1a4a19,"['claude-3-5-sonnet-20240620', 'low']","['model', 'semantic_distance']",584,98,74,51,5,4.846938775510204,116.0,19.6,18.4,0.21149321953455608,0.0187269799035005,"[0.010435696442921943, 0.004989650273563906, 0.009254127198999595, 0.012774485891515558]","[0.7551020408163265, 0.979381443298969, 1.0, 1.0, 1.0]","[0.12244897959183673, 0.4536082474226804, 0.7604166666666666, 0.9473684210526315, 0.9787234042553191]",2.4,4,2.8159418683674002,7,0.10496804942475989,0.006133514770135795,0.2
